FSR_weight1 (g), FSR_weight2 (g), FSR_weight3 (g), Pressure (PSI) 
0.00, 0.00, 0.00, 14.31
0.00, 0.00, 0.00, 13.56
0.00, 0.00, 0.00, 13.56
0.00, 0.00, 0.00, 13.61
0.00, 0.00, 0.00, 13.79
0.00, 0.00, 0.00, 13.95
0.00, 0.00, 0.00, 14.11
0.00, 0.00, 0.00, 14.27
0.00, 0.00, 0.00, 14.44
0.00, 0.00, 0.00, 14.60
0.00, 0.00, 0.00, 14.77
0.00, 0.00, 0.00, 14.81
0.00, 0.00, 0.00, 14.89
0.00, 0.00, 0.00, 15.01
0.00, 0.00, 0.00, 15.13
0.00, 0.00, 0.00, 15.24
0.00, 0.00, 0.00, 15.18
0.00, 0.00, 0.00, 15.33
0.00, 0.00, 0.00, 15.48
0.00, 0.00, 0.00, 15.63
0.00, 0.00, 0.00, 15.79
0.00, 0.00, 0.00, 15.91
0.00, 0.00, 0.00, 16.02
0.00, 0.00, 0.00, 16.07
0.00, 0.00, 0.00, 16.25
0.00, 0.00, 0.00, 16.45
0.00, 0.00, 0.00, 16.62
0.00, 0.00, 0.00, 16.62
0.00, 0.00, 0.00, 16.61
0.00, 0.00, 0.00, 16.59
0.00, 0.00, 0.00, 16.59
0.00, 0.00, 0.00, 16.58
0.00, 0.00, 0.00, 16.57
0.00, 0.00, 0.00, 16.57
0.00, 0.00, 0.00, 16.56
0.00, 0.00, 0.00, 16.56
0.00, 0.00, 0.00, 16.55
0.00, 0.00, 0.00, 16.54
0.00, 0.00, 0.00, 16.54
0.00, 0.00, 0.00, 16.53
0.00, 0.00, 0.00, 16.53
0.00, 0.00, 0.00, 16.52
0.00, 0.00, 0.00, 16.52
0.00, 0.00, 0.00, 16.51
0.00, 0.00, 0.00, 16.51
0.00, 0.00, 0.00, 16.50
0.00, 0.00, 0.00, 16.50
0.00, 0.00, 0.00, 16.49
0.00, 0.00, 0.00, 16.49
0.00, 0.00, 0.00, 16.48
0.00, 0.00, 0.00, 16.48
0.00, 0.00, 0.00, 16.47
0.00, 0.00, 0.00, 16.47
0.00, 0.00, 0.00, 16.46
0.00, 0.00, 0.00, 16.46
0.00, 0.00, 0.00, 16.45
0.00, 0.00, 0.00, 16.45
0.00, 0.00, 0.00, 16.44
0.00, 0.00, 0.00, 16.44
0.00, 0.00, 0.00, 16.44
0.00, 0.00, 0.00, 16.43
0.00, 0.00, 0.00, 16.42
0.00, 0.00, 0.00, 16.42
0.00, 0.00, 0.00, 16.41
0.00, 0.00, 0.00, 16.41
0.00, 0.00, 0.00, 16.41
0.00, 0.00, 0.00, 16.40
0.00, 0.00, 0.00, 16.40
0.00, 0.00, 0.00, 16.39
0.00, 0.00, 0.00, 16.39
0.00, 0.00, 0.00, 16.38
0.00, 0.00, 0.00, 16.38
0.00, 0.00, 0.00, 16.38
0.00, 0.00, 0.00, 16.37
0.00, 0.00, 0.00, 16.37
0.00, 0.00, 0.00, 16.36
0.00, 0.00, 0.00, 16.36
0.00, 0.00, 0.00, 16.36
0.00, 0.00, 0.00, 16.34
0.00, 0.00, 0.00, 16.17
0.00, 0.00, 0.00, 15.96
0.00, 0.00, 0.00, 15.77
0.00, 0.00, 0.00, 15.59
0.00, 0.00, 0.00, 15.41
0.00, 0.00, 0.00, 15.24
0.00, 0.00, 0.00, 15.09
0.00, 0.00, 0.00, 14.94
0.00, 0.00, 0.00, 14.81
0.00, 0.00, 0.00, 14.71
0.00, 0.00, 0.00, 14.67
0.00, 0.00, 0.00, 14.66
0.00, 0.00, 0.00, 14.64
0.00, 0.00, 0.00, 14.52
0.00, 0.00, 0.00, 14.35
0.00, 0.00, 0.00, 14.21
